"IDinventario","Nombre","Fecha y hora","Tipo","Total","Descuento","createdAt","updatedAt"
"50e80ecd","Mezclas","2024-11-21 16:44:00","SALIDAS","$0.00","$0.00",NULL,NULL
"517a33d0","Vasos","2024-11-14 14:06:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"5222390e","Mezclas","2025-02-21 14:25:00","SALIDAS","$0.00","$0.00",NULL,NULL
"530ff755","Mezclas","2025-06-13 15:28:00","SALIDAS","$0.00","$0.00",NULL,NULL
"538656fa","Mezclas","2025-11-19 14:34:00","SALIDAS","$0.00","$0.00",NULL,NULL
"53cb40c3","Vasos","2025-09-19 14:29:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"53ec277a","Mezclas","2025-06-28 14:12:00","SALIDAS","$0.00","$0.00",NULL,NULL
"53fcc6e7","Jhonnier Mejia","2024-12-17 14:50:00","SALIDAS","$0.00","$0.00",NULL,NULL
"54a61ee6","Paletas, vasos y cintas","2025-05-24 10:21:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"551b3163","Mezclas","2024-11-14 14:42:00","SALIDAS","$0.00","$0.00",NULL,NULL
"5586df75","Vasos","2025-10-08 16:13:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"5616c356","Mezclas","2025-04-24 14:14:00","SALIDAS","$0.00","$0.00",NULL,NULL
"56981314","Mezclas","2025-04-23 14:39:00","SALIDAS","$0.00","$0.00",NULL,NULL
"56cd5a70","Mezclas","2025-05-03 14:16:00","SALIDAS","$0.00","$0.00",NULL,NULL
"5865431c","Mezclas","2025-12-03 17:50:00","SALIDAS","$0.00","$0.00",NULL,NULL
"5ad2ea9c","Insumos CALI","2025-08-30 14:19:00","ENTRADAS","$7,223,810.00","$502,190.00",NULL,NULL
"5afdde1f","Pitillos","2025-04-09 15:59:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"5b305f53","Insumos Mezclas, Frutales","2024-11-28 07:58:00","ENTRADAS","$4,355,400.00","$289,000.00",NULL,NULL
"5c8c0004","Mezclas","2025-12-18 14:55:00","SALIDAS","$0.00","$0.00",NULL,NULL
"5d2482e5","Dulces","2025-12-27 01:23:00","ENTRADAS","$0.00","$0.00",NULL,NULL
