"IDalimentos","Categoria","Nombre","Unidades","Cantidad","imagen","fecha de vencimiento","NombreCategoria","Precio","Total","Agregar Cantidad","Fecha","Descontar cant de ventas?","Notificar a whatsapp","apartir de cantidad","Enviar si o no","Disponible","Contador","Image Url","Llevar control en caja","Contador 2","imagencard","createdAt","updatedAt"
"20475d76","0d04f632","Ojo de diablo alcohol","TARRO 6L",249,"",NULL,NULL,"$32,000.00","$7,968,000.00",12,"2025-12-23","NO","SI",2,"NO ENVIAR","Disponible: 24",21,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",78,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2F20475d76_20250914_115311.png",NULL,NULL
"20475d77","0d04f632","Mango Tequila alcohol","TARRO 6L",65,"",NULL,NULL,"$32,000.00","$2,080,000.00",2,"2025-12-27","NO","SI",NULL,"NO ENVIAR","Disponible: 4",15,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",27,NULL,NULL,NULL
"20475d78","0d04f632","SelvatiK alcohol","BOLSA 300mL",78,"",NULL,NULL,"$32,000.00","$2,496,000.00",4,"2025-12-23","NO","SI",2,"NO ENVIAR","Disponible: 4",15,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,29,NULL,NULL,NULL
"20475d79","0d04f632","Nápoles","TARRO 6L",60,"",NULL,NULL,"$32,000.00","$1,920,000.00",NULL,"2025-12-24","NO","NO",NULL,"NO ENVIAR","Disponible: 8",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,NULL,NULL,NULL,NULL
"20475d7b","0d04f632","Tussi","TARRO 6L",108,"",NULL,NULL,"$32,000.00","$3,456,000.00",12,"2025-12-27","NO","NO",2,"NO ENVIAR","Disponible: 6",14,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",41,NULL,NULL,NULL
"20475d80","0d04f632","Martini Green","TARRO 6L",11,"",NULL,NULL,"$32,000.00","$352,000.00",NULL,"2026-01-11","NO","NO",2,"NO ENVIAR","Disponible: 4",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",NULL,NULL,NULL,NULL
"20475d81","0d04f632","Santorini","TARRO 6L",15,"",NULL,NULL,"$32,000.00","$480,000.00",2,"2025-08-25","NO","NO",2,"ENVIAR","Disponible: 2",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",6,NULL,NULL,NULL
"20475d82","0d04f632","Vish edition","TARRO 6L",0,"",NULL,NULL,"$32,000.00","$0.00",NULL,"2025-03-01","NO","NO",2,"ENVIAR","Disponible: 0",2,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,NULL,NULL,NULL,NULL
"20475d83","0d04f633","bombonbum","TARRO 6L",442,"",NULL,NULL,"$28,000.00","$12,376,000.00",10,"2026-01-08","NO","SI",2,"NO ENVIAR","Disponible: 50",28,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",120,NULL,NULL,NULL
"20475d84","0d04f633","manzana verde","TARRO 6L",0,"",NULL,NULL,"$28,000.00","$0.00",1,"2025-02-11","NO","NO",NULL,"NO ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,NULL,NULL,NULL,NULL
"20475d85","0d04f633","venom","TARRO 6L",0,"",NULL,NULL,"$28,000.00","$0.00",4,"2025-02-11","NO","NO",NULL,"NO ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,NULL,NULL,NULL,NULL
"20475d86","0d04f633","miami","TARRO 6L",0,"",NULL,NULL,"$28,000.00","$0.00",4,"2025-02-11","NO","NO",NULL,"NO ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,NULL,NULL,NULL,NULL
"21afd64c","d30a10d9","Oka loca x12","PAQUETES X12",530,"INSUMOS_Images/21afd64c.imagen.163154.png","2023-04-03",NULL,"$20,417.00","$10,821,010.00",12,"2026-01-08","NO","NO",3,"NO ENVIAR","Disponible: 12",34,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/21afd64c.imagen.163154.png",NULL,119,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2F21afd64c_20251108_084528.png",NULL,NULL
"27ea1f44","d30a10d9","Barquillo Chocolate","25 Unidades",3,"INSUMOS_Images/27ea1f44.imagen.222538.jpg",NULL,NULL,NULL,"$0.00",NULL,"2025-06-14","NO","NO",NULL,"NO ENVIAR","Disponible: 0",NULL,"","NO",1,NULL,NULL,NULL
"290aff6e","d30a10d9","Trolli Hallowen","Bolsa X50",21,"INSUMOS_Images/290aff6e.imagen.164206.jpg",NULL,NULL,"$7,700.00","$161,700.00",NULL,"2025-10-31","NO","NO",3,"NO ENVIAR","Disponible: 6",NULL,"","NO",9,NULL,NULL,NULL
"2acc88b4","0d04f633","Santorini sin licor","TARRO 6L",14,"",NULL,NULL,"$28,000.00","$392,000.00",NULL,"2025-06-09","NO","NO",NULL,"NO ENVIAR","Disponible: 6",NULL,NULL,"NO",NULL,NULL,NULL,NULL
"2b9855e7","0d04f633","Mora azul sin licor","TARRO 6L",163,"",NULL,NULL,"$28,000.00","$4,564,000.00",NULL,"2026-01-01","NO","NO",2,"NO ENVIAR","Disponible: 19",8,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,1,NULL,NULL,NULL
"2d6008e1","4ff5b09a","Bolsa hermetica 8X10","PAQUETES X100",26,"",NULL,NULL,"$300.00","$7,800.00",NULL,"2026-01-04","NO","NO",NULL,"NO ENVIAR","Disponible: 0",NULL,NULL,"NO",NULL,"",NULL,NULL
"2e8a1d6b","0d04f632","Four loko blue","TARRO 6L",0,"",NULL,NULL,"$32,000.00","$0.00",4,"2025-02-11","NO","NO",2,"ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",NULL,NULL,NULL,NULL
"2ec1703b","4ff5b09a","Servilletas","PAQUETES X100",30,"",NULL,NULL,"$2,200.00","$66,000.00",NULL,"2025-12-27","NO","SI",1,"NO ENVIAR","Disponible: 5",1,NULL,"NO",NULL,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2F2ec1703b_20250514_153718.png",NULL,NULL
"3047deff","0d04f633","Summer fantasy SL","TARRO 6L",24,"",NULL,NULL,"$28,000.00","$672,000.00",NULL,"2025-12-12","NO","NO",NULL,"NO ENVIAR","Disponible: 8",NULL,NULL,"NO",NULL,"",NULL,NULL
"318c6510","0d04f632","Pasion Purpura","TARRO 6L",103,"",NULL,NULL,"$32,000.00","$3,296,000.00",NULL,"2025-12-27","NO","SI",2,"NO ENVIAR","Disponible: 6",NULL,"","NO",23,NULL,NULL,NULL
"33e0b56f","0d04f632","Venom","TARRO 6L",58,"",NULL,NULL,"$32,000.00","$1,856,000.00",NULL,"2025-12-14","NO","NO",NULL,"NO ENVIAR","Disponible: 16",2,NULL,"NO",2,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2F33e0b56f_20250927_121858.png",NULL,NULL
