"IDalimentos","Categoria","Nombre","Unidades","Cantidad","imagen","fecha de vencimiento","NombreCategoria","Precio","Total","Agregar Cantidad","Fecha","Descontar cant de ventas?","Notificar a whatsapp","apartir de cantidad","Enviar si o no","Disponible","Contador","Image Url","Llevar control en caja","Contador 2","imagencard","createdAt","updatedAt"
"9cef50a1","0d04f632","Jagger","TARRO 6L",30,"",NULL,NULL,"$32,000.00","$960,000.00",NULL,"2025-11-29","NO","NO",NULL,"NO ENVIAR","Disponible: 4",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,NULL,NULL,NULL,NULL
"9d3a34a3","d30a10d9","Anaconda Trollis X 200","TARRO X200",242,"INSUMOS_Images/9d3a34a3.imagen.223021.png",NULL,NULL,"$6,563.00","$1,588,246.00",-16,"2025-12-29","NO","NO",3,"ENVIAR","Disponible: 0",36,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/9d3a34a3.imagen.223021.png",NULL,101,NULL,NULL,NULL
"9dbd9421","0d04f633","Caipirih sin licor","TARRO 6L",76,"",NULL,NULL,"$28,000.00","$2,128,000.00",NULL,"2026-01-07","NO","NO",2,"NO ENVIAR","Disponible: 4",1,"","NO",6,NULL,NULL,NULL
"a22d63d8","0d04f633","Tussi sin licor","TARRO 6L",96,"",NULL,NULL,"$28,000.00","$2,688,000.00",11,"2026-01-01","NO","NO",2,"ENVIAR","Disponible: 1",30,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",41,NULL,NULL,NULL
"a24d9533","d30a10d9","Bubols 3.4Kg","3.4Kg",1,"",NULL,NULL,"$104,000.00","$104,000.00",NULL,"2025-12-24","NO","NO",NULL,"NO ENVIAR","Disponible: 1",NULL,NULL,"NO",NULL,"",NULL,NULL
"a2900166","d30a10d9","GOMAS TROLLI ANILLOS X100un","PAQUETES X100",377,"INSUMOS_Files_/a2900166.imagen.011126.webp",NULL,NULL,"$13,000.00","$4,901,000.00",3,"2025-12-20","NO","SI",2,"NO ENVIAR","Disponible: 13",25,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Files_/a2900166.imagen.011126.webp",NULL,81,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2Fa2900166_20251101_080512.png",NULL,NULL
"a4190f21","4ff5b09a","Vasos de 12 onz","PAQUETES X20",2274,"INSUMOS_Images/a4190f21.imagen.050656.png",NULL,NULL,"$4,300.00","$9,778,200.00",-36,"2026-04-30","NO","SI",2,"NO ENVIAR","23",58,NULL,"SI",18,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2Fa4190f21_20251107_154811.png",NULL,NULL
"a804febc","0d04f632","Berlin","TARRO 6L",2,"",NULL,NULL,"$32,000.00","$64,000.00",NULL,"2025-02-11","NO","NO",NULL,"NO ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",1,NULL,NULL,NULL
"a976a6b0","0d04f632","Miami","TARRO 6L",0,"",NULL,NULL,"$32,000.00","$0.00",NULL,"2025-02-11","NO","NO",NULL,"NO ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,NULL,NULL,NULL,NULL
"ab400715","0d04f633","Frutal lulada valluna","BOLSA DE 3100 GR",2,"",NULL,NULL,"$34,560.00","$69,120.00",NULL,"2025-05-12","NO","NO",NULL,"NO ENVIAR","Disponible: 1",NULL,NULL,"NO",NULL,NULL,NULL,NULL
"ae64846c","0d04f632","Nuvo","TARRO 6L",1,"",NULL,NULL,"$36,720.00","$36,720.00",NULL,"2025-05-12","NO","NO",NULL,"NO ENVIAR","Disponible: 0",NULL,NULL,"NO",NULL,NULL,NULL,NULL
"aecb3c69","0d04f632","Mango Bk","TARRO 6L",55,"",NULL,NULL,"$32,000.00","$1,760,000.00",NULL,"2025-12-02","NO","SI",2,"NO ENVIAR","Disponible: 13",2,"","NO",12,NULL,NULL,NULL
"af470faa","0d04f632","Four loko red","TARRO 6L",26,"",NULL,NULL,"$32,000.00","$832,000.00",NULL,"2026-01-05","NO","NO",2,"ENVIAR","Disponible: 2",2,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,10,NULL,NULL,NULL
"affba9fd","0d04f632","Crema de Whisky","TARRO 6L",20,"",NULL,NULL,"$48,000.00","$960,000.00",NULL,"2025-05-24","NO","SI",1,"NO ENVIAR","Disponible: 6",NULL,"","NO",9,NULL,NULL,NULL
"b27738b7","0d04f633","Mango biche","TARRO 6L",161,"",NULL,NULL,"$28,000.00","$4,508,000.00",NULL,"2026-01-01","NO","NO",NULL,"NO ENVIAR","Disponible: 18",1,NULL,"NO",1,NULL,NULL,NULL
"b55340c0","0d04f633","Ojo del Diablo sin licor","TARRO 6L",26,"",NULL,NULL,"$28,000.00","$728,000.00",17,"2025-08-16","NO","SI",2,"NO ENVIAR","Disponible: 8",15,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,23,NULL,NULL,NULL
"b57c310c","0d04f632","Fresa intensa","TARRO 6L",14,"",NULL,NULL,"$32,000.00","$448,000.00",NULL,"2025-12-27","NO","NO",NULL,"NO ENVIAR","Disponible: 14",NULL,NULL,"NO",NULL,"",NULL,NULL
"b60c6450","d30a10d9","Trolli anayconda funda","Bolsa X100",422,"INSUMOS_Images/b60c6450.imagen.194317.jpg",NULL,NULL,"$6,563.00","$2,664,578.00",-16,"2026-01-09","NO","SI",4,"NO ENVIAR","Disponible: 16",3,NULL,"NO",3,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2Fb60c6450_20250824_143937.png",NULL,NULL
"b8337642","d30a10d9","Chicle Perlas Explosivas 480g","480 gr",0,"",NULL,NULL,"$19,000.00","$0.00",NULL,"2025-02-11","NO","NO",NULL,"NO ENVIAR","Disponible: 0",NULL,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",NULL,NULL,NULL,NULL
"bc625d3e","d30a10d9","Leche condensada","390 Gr",1,"INSUMOS_Images/bc625d3e.imagen.222443.jpg",NULL,NULL,"$5,000.00","$5,000.00",NULL,"2025-05-02","NO","NO",NULL,"NO ENVIAR","Disponible: 1",NULL,"","NO",1,NULL,NULL,NULL
"bca7bb21","0d04f633","Selvátic sin licor","TARRO 6L",58,"",NULL,NULL,"$28,000.00","$1,624,000.00",4,"2026-01-11","NO","NO",NULL,"NO ENVIAR","Disponible: 18",2,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,1,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2Fbca7bb21_20250926_132744.png",NULL,NULL
"bce1e3b3","d30a10d9","Selvatik Perlas explosivas 480g","480 gr",0,"INSUMOS_Images/bce1e3b3.imagen.140404.jpg",NULL,NULL,"$19,000.00","$0.00",NULL,"2025-02-11","NO","NO",2,"ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/bce1e3b3.imagen.140404.jpg",NULL,NULL,NULL,NULL,NULL
"bd785ddb","4ff5b09a","Jeringas","Unidad",219,"INSUMOS_Images/bd785ddb.imagen.222535.jpg",NULL,NULL,"$500.00","$109,500.00",-50,"2025-12-22","SI","SI",3,"NO ENVIAR","Disponible: 54",282,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/bd785ddb.imagen.222535.jpg","SI",1,NULL,NULL,NULL
"c2872317","d30a10d9","Anaconda Gomas Trolli x100","PAQUETES X100",0,"INSUMOS_Images/c2872317.imagen.005236.jpg",NULL,NULL,NULL,"$0.00",24,"2025-10-02","NO","NO",2,"ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/c2872317.imagen.005236.jpg",NULL,NULL,NULL,NULL,NULL
"c3ce6039","d30a10d9","Ojos trolli","Bolsa X50",5,"INSUMOS_Images/c3ce6039.imagen.220114.jpg",NULL,NULL,"$7,625.00","$38,125.00",NULL,"2025-02-11","NO","NO",NULL,"NO ENVIAR","Disponible: 0",NULL,"","NO",8,NULL,NULL,NULL
"c6434dc7","d30a10d9","Paquete de fruta 50Gr","50Gr",3246,"",NULL,NULL,"$0.00","$0.00",38,"2026-04-30","SI","NO",NULL,"NO ENVIAR","-55",61,NULL,"SI",49,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2Fc6434dc7_20250928_132900.png",NULL,NULL
"cdbf7084","0d04f632","Fresa Bombon Licor","TARRO 6L",82,"",NULL,NULL,"$32,000.00","$2,624,000.00",NULL,"2025-11-07","NO","NO",2,"NO ENVIAR","Disponible: 8",NULL,"","NO",5,NULL,NULL,NULL
"ce2637cd","d30a10d9","Boli pop 4200 Gr","4200 Gr",4,"",NULL,NULL,"$79,200.00","$316,800.00",NULL,"2025-12-06","NO","NO",NULL,"NO ENVIAR","Disponible: 1",NULL,NULL,"NO",NULL,"",NULL,NULL
"d595a3f3","0d04f632","Crema de coffe deligth","TARRO 6L",2,"",NULL,NULL,"$55,000.00","$110,000.00",NULL,"2025-02-28","NO","NO",0,"ENVIAR","Disponible: 0",NULL,"","NO",2,NULL,NULL,NULL
"d5ad0f28","d30a10d9","Gomas trululu aros x 100","Bolsa X100",0,"INSUMOS_Images/d5ad0f28.imagen.163607.jpg","2023-04-03",NULL,"$15,485.00","$0.00",11,"2025-02-11","NO","NO",2,"ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/d5ad0f28.imagen.163607.jpg",NULL,NULL,NULL,NULL,NULL
"d780b4b3","0d04f632","Cairpirina","TARRO 6L",87,"",NULL,NULL,"$32,000.00","$2,784,000.00",2,"2025-12-13","NO","SI",2,"NO ENVIAR","Disponible: 6",12,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",39,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2Fd780b4b3_20251105_211316.png",NULL,NULL
"d821ea0c","d30a10d9","Trolli horror ojos halloween","Bolsa X50",20,"INSUMOS_Images/d821ea0c.imagen.204933.jpg",NULL,NULL,"$8,500.00","$170,000.00",NULL,"2025-10-31","NO","NO",NULL,"NO ENVIAR","Disponible: 6",NULL,NULL,"NO",NULL,"",NULL,NULL
"d8dc9c31","d30a10d9","Grissly colmillos","Bolsa X50",14,"INSUMOS_Images/d8dc9c31.imagen.163337.png",NULL,NULL,"$8,500.00","$119,000.00",NULL,"2025-10-31","NO","NO",3,"NO ENVIAR","Disponible: 6",NULL,"","NO",12,NULL,NULL,NULL
"da8f7c03","0d04f633","Frutal de limonada cerezada","BOLSA DE 3100 GR",10,"",NULL,NULL,"$34,560.00","$345,600.00",NULL,"2025-05-03","NO","NO",1,"NO ENVIAR","Disponible: 2",NULL,"","NO",12,NULL,NULL,NULL
"da962c86","0d04f633","Frutal de cafe","BOLSA DE 3100 GR",0,"",NULL,NULL,"$32,000.00","$0.00",NULL,"2025-02-11","NO","NO",1,"ENVIAR","Disponible: 0",NULL,"","NO",1,NULL,NULL,NULL
"db7e52a3","0d04f633","Uva pasion","TARRO 6L",52,"",NULL,NULL,"$28,000.00","$1,456,000.00",NULL,"2025-12-27","NO","NO",NULL,"NO ENVIAR","Disponible: 4",1,NULL,"NO",1,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2Fdb7e52a3_20250907_114823.png",NULL,NULL
"df19ddb5","d30a10d9","Trolli anillo X50","Bolsa X50",34,"INSUMOS_Images/df19ddb5.imagen.161813.png",NULL,NULL,"$6,500.00","$221,000.00",NULL,"2025-02-28","NO","NO",4,"ENVIAR","Disponible: 0",NULL,"","NO",30,NULL,NULL,NULL
"e05755db","d30a10d9","Sales para michelar","BOLSA X250g",14,"",NULL,NULL,"$10,500.00","$147,000.00",NULL,"2025-12-27","NO","NO",NULL,"NO ENVIAR","Disponible: 4",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,NULL,NULL,NULL,NULL
"e114aa93","4ff5b09a","Vaso de 24 onz","PAQUETES X20",75,"INSUMOS_Images/e114aa93.imagen.141711.jpg",NULL,NULL,"$12,300.00","$922,500.00",1,"2025-12-27","NO","SI",3,"ENVIAR","Disponible: 3",843,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/e114aa93.imagen.141711.jpg","SI",26,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2Fe114aa93_20250514_180029.png",NULL,NULL
"e1516d60","0d04f633","Coco de rumba sin licor","TARRO 6L",4,"",NULL,NULL,"$28,000.00","$112,000.00",NULL,"2026-01-11","NO","NO",NULL,"NO ENVIAR","Disponible: 4",NULL,NULL,"NO",NULL,"",NULL,NULL
"e216add1","d30a10d9","Chicle miniatura 1Kg","Bolsa 1Kg",578,"INSUMOS_Images/e216add1.imagen.163249.jpg","2023-04-03",NULL,"$20,000.00","$11,560,000.00",4,"2026-01-09","NO","SI",2,"NO ENVIAR","Disponible: 10",33,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/e216add1.imagen.163249.jpg",NULL,149,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2Fe216add1_20250824_144005.png",NULL,NULL
"e3acc043","0d04f632","Mimosi","TARRO 6L",44,"",NULL,NULL,"$32,000.00","$1,408,000.00",NULL,"2026-01-08","NO","NO",NULL,"NO ENVIAR","Disponible: 16",NULL,NULL,"NO",NULL,"",NULL,NULL
"e404ce51","d30a10d9","Arandano Perlas explosivas 480g","480 gr",0,"INSUMOS_Images/e404ce51.imagen.140346.jpg",NULL,NULL,"$19,000.00","$0.00",1,"2025-02-11","NO","NO",NULL,"NO ENVIAR","Disponible: 0",2,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/e404ce51.imagen.140346.jpg",NULL,NULL,NULL,NULL,NULL
"e40def29","0d04f633","Frutal Maracululo","BOLSA DE 3100 GR",0,"",NULL,NULL,"$32,000.00","$0.00",NULL,"2025-02-11","NO","NO",1,"ENVIAR","Disponible: 0",NULL,"","NO",2,NULL,NULL,NULL
"ea690395","4ff5b09a","Cinta 100m","100m",1,"",NULL,NULL,"$4,500.00","$4,500.00",NULL,"2025-08-14","NO","NO",NULL,"NO ENVIAR","Disponible: 1",NULL,NULL,"NO",NULL,"",NULL,NULL
"ef3867a7","0d04f632","Jagger Sweet","TARRO 6L",13,"",NULL,NULL,"$32,000.00","$416,000.00",NULL,"2025-09-20","NO","NO",NULL,"NO ENVIAR","Disponible: 12",NULL,NULL,"NO",NULL,NULL,NULL,NULL
"f4db7a4e","0d04f632","Ice russian","TARRO 6L",28,"",NULL,NULL,"$32,000.00","$896,000.00",4,"2025-12-11","NO","NO",2,"NO ENVIAR","Disponible: 4",5,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",13,NULL,NULL,NULL
"f4e7a67f","4ff5b09a","Tapas Domicilios","Unidad",407,"INSUMOS_Images/f4e7a67f.imagen.184036.jpg",NULL,NULL,NULL,"$0.00",100,"2026-01-03","SI","NO",NULL,"NO ENVIAR","Disponible: 100",NULL,NULL,"SI",NULL,"",NULL,NULL
"f6fdf4d1","0a665a65","Absolut","50mL",12,"INSUMOS_Images/f6fdf4d1.imagen.202325.png",NULL,NULL,"$9,000.00","$108,000.00",2,"2025-09-28","SI","NO",NULL,"NO ENVIAR","Disponible: 0",5,NULL,"SI",5,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2Ff6fdf4d1_20250823_165638.png",NULL,NULL
"fa3dae5d","d30a10d9","Franki trululu x13","Paquete ×13",70,"INSUMOS_Images/fa3dae5d.imagen.215931.jpg",NULL,NULL,"$1,600.00","$112,000.00",NULL,"2025-10-24","NO","NO",NULL,"NO ENVIAR","Disponible: 55",NULL,"","NO",16,NULL,NULL,NULL
"fbf14f4e","0d04f632","Moss mule","TARRO 6L",0,"",NULL,NULL,"$32,000.00","$0.00",4,"2025-02-11","NO","NO",NULL,"NO ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",NULL,NULL,NULL,NULL
"fcf976bf","d30a10d9","Glaseado fresa bombon","BOLSA X250g",11,"",NULL,NULL,"$9,000.00","$99,000.00",NULL,"2025-12-27","NO","NO",NULL,"NO ENVIAR","Disponible: 1",NULL,NULL,"NO",NULL,"",NULL,NULL
"feb4c064","4ff5b09a","Vaso de 16 onz","PAQUETES X20",89,"INSUMOS_Images/feb4c064.imagen.164343.jpg",NULL,NULL,"$6,500.00","$578,500.00",NULL,"2025-12-22","NO","NO",NULL,"NO ENVIAR","Disponible: 1",8,NULL,"SI",NULL,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2Ffeb4c064_20250514_180118.png",NULL,NULL
"fed9b295","d30a10d9","Trululu nanos x 21","X21",648,"INSUMOS_Images/fed9b295.imagen.200339.jpg",NULL,NULL,"$2,200.00","$1,029,600.00",NULL,"2026-01-09","NO","NO",NULL,"NO ENVIAR","Disponible: 60",NULL,NULL,"NO",NULL,"",NULL,NULL
