IDorderventas;IDventas;Categoria;Nombre;Cantidad;Precio;Precio total;Estado;Comentarios;Imagen;fecha;SALSA;HELADO;TOPINGS;CategoriaProducto;ImagenUrl;NombreProducto;createdAt;productoId;updatedAt;usuarioId
cmomhqmdz0013aupgrskrqrcn;cmomhqlto0011aupgrtx97cra;LO MAS VENDIDO;Shot de tequila;1;$5,000.00;$5,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/8a734bcd.Image.232649.jpg;Shot de tequila;NULL;8a734bcd;NULL;cmom4whz80000k0qnjs8qb3sc
cmomi3gvu0017aupgut3zpc8x;cmomi3gcc0015aupg56udfy67;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;TOMADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomiatl5001baupgfterkhkh;cmomiat0s0019aupgcgz6vncn;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;EN_EL_CARRITO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomim6w0001faupg80gup32t;cmomim6bm001daupghud3v4g4;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;TOMADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomio341001jaupgrdrjswcq;cmomio2jt001haupg6gts2m3v;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;EN_EL_CARRITO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomixd78001naupgmtedzcqr;cmomixco4001laupg543d2v4m;LO MAS VENDIDO;Tapas domicilio;1;$1,000.00;$1,000.00;TOMADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;PRODUCTOS_Images/e852ea91.Image.183922.jpg;Tapas domicilio;NULL;e852ea91;NULL;cmom4whz80000k0qnjs8qb3sc
cmomjc8jq001raupgu11vjmng;cmomjc7yl001paupg4dxtai0p;LO MAS VENDIDO;Normal 24 Onz;1;$20,000.00;$20,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc12.Image.145116.png;Normal 24 Onz;NULL;9f390fc12;NULL;cmom4whz80000k0qnjs8qb3sc
cmomjc8oh001taupgvu1wlpn2;cmomjc7yl001paupg4dxtai0p;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomjc8oo001vaupg20xjpo1p;cmomjc7yl001paupg4dxtai0p;LO MAS VENDIDO;Tapas domicilio;1;$1,000.00;$1,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;PRODUCTOS_Images/e852ea91.Image.183922.jpg;Tapas domicilio;NULL;e852ea91;NULL;cmom4whz80000k0qnjs8qb3sc
cmomjc8ou001xaupgq86kn1ih;cmomjc7yl001paupg4dxtai0p;LO MAS VENDIDO;Normal 12 Onz Sin licor;1;$8,000.00;$8,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc16.Image.145450.png;Normal 12 Onz Sin licor;NULL;9f390fc16;NULL;cmom4whz80000k0qnjs8qb3sc
cmomjh90s0021aupguty7rh91;cmomjh8fd001zaupgvfdhs0pk;LO MAS VENDIDO;Normal 12 Onz Con licor;3;$12,000.00;$36,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomjlopf0025aupg20ivo2y7;cmomjlo5g0023aupgma60m57b;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomjs1ul0029aupgok5x0kek;cmomjs1a50027aupg9kxz4ile;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomkhtly002daupgxfx63r2b;cmomkht18002baupgd5q59mmn;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;TOMADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
