"IDproductos","Categoria","Categoria_Nombre","Nombre","Mostrar","Cantidad","Precio Unitario","Image","ImagenUrl","IDventas","Fecha de Cantidad agregada","Cantidad Agregada","Precio de compra","Unidades","Descontar","Combo","Llevar control en caja","Orden","Stock_Filtro"
"9f390fc10","8896f462","LO MAS VENDIDO","Normal 12 Onz Con licor","si",NULL,"$12,000.00","PRODUCTOS_Images/9f390fc10.Image.145058.png","https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png",NULL,NULL,NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","SI",1,NULL
"9f390fc11","8896f462","LO MAS VENDIDO","Normal 16 Onz","si",NULL,"$16,000.00","PRODUCTOS_Images/9f390fc11.Image.145620.png","https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc11.Image.145620.png",NULL,NULL,NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","SI",3,NULL
"9f390fc12","8896f462","LO MAS VENDIDO","Normal 24 Onz","si",NULL,"$20,000.00","PRODUCTOS_Images/9f390fc12.Image.145116.png","https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc12.Image.145116.png",NULL,NULL,NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","SI",3,NULL
"9f390fc13","8896f461","CREMOSOS","Cremoso 13 Onz","si",NULL,"$14,000.00","PRODUCTOS_Images/9f390fc13.Image.145144.png","https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc13.Image.145144.png",NULL,NULL,NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO",NULL,"NO",4,NULL
"9f390fc14","8896f461","CREMOSOS","Cremoso 24 Onz","si",NULL,"$20,000.00","PRODUCTOS_Images/9f390fc14.Image.145200.png","https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc14.Image.145200.png",NULL,NULL,NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO",NULL,"NO",NULL,NULL
"9f390fc15","8896f463","PROMOS","Normal 12 Onz X 2","no",NULL,"$15,000.00","PRODUCTOS_Images/9f390fc15.Image.145458.png","https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc15.Image.145458.png",NULL,NULL,NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","NO",NULL,NULL
"9f390fc16","8896f462","LO MAS VENDIDO","Normal 12 Onz Sin licor","si",NULL,"$8,000.00","PRODUCTOS_Images/9f390fc16.Image.145450.png","https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc16.Image.145450.png",NULL,NULL,NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","SI",2,NULL
"a827d17a","c871d8c7","MINIBOTELLAS","Chivas Regal",NULL,NULL,"$20,000.00","",NULL,NULL,"2025-05-25 14:48:01",NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","NO",NULL,NULL
"b4224687","8896f463","PROMOS","PROMO cremoso 12 onz",NULL,NULL,"$10,000.00","","",NULL,"2025-01-24 16:32:20",NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","NO",6,NULL
"b5a797f3","8896f462","LO MAS VENDIDO","Adicional de gomas",NULL,NULL,"$2,000.00","PRODUCTOS_Images/b5a797f3.Image.183751.jpg",NULL,NULL,"2025-07-31 14:46:12",NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","SI",0,NULL
